,HPSA_Ind,prob_1,prob_2
0,1,0.7669922709,0.2330077589
1,1,0.5574076772000001,0.4425923228
2,1,0.9144849777,0.0855150372
3,2,0.0037461054,0.9962538481000001
4,2,0.0524186455,0.9475813508
5,2,0.2512797713,0.7487202883
6,2,5.8459400000000005e-05,0.9999415874
7,1,0.5383737683,0.4616262913
8,1,0.7691899538,0.23081006110000002
9,1,0.8782149553,0.1217850298
10,2,0.1557014287,0.8442986012
11,2,0.4880903065,0.5119097233000001
12,2,0.47537562250000004,0.5246244073
13,1,0.7411831617,0.2588168383
14,2,0.0009244833,0.9990755320000001
15,1,0.5302335024,0.4697664976
16,2,0.08581695710000001,0.9141830802
17,1,0.7875061035,0.2124938369
18,2,0.422251761,0.577748239
19,1,0.6772586107,0.3227413893
20,2,0.0034807273,0.9965193272
21,1,0.9540458322,0.0459541604
22,2,0.0149280839,0.9850718379000001
23,2,0.0013446445,0.9986553192000001
24,1,0.6164422035,0.3835578263
25,1,0.8754432797,0.12455671280000001
26,1,0.7806972861,0.2193026841
27,2,0.0292310603,0.9707689881
28,1,0.7457782626,0.2542216778
29,1,0.9092980027,0.09070197490000001
30,2,0.2776431441,0.7223568559
31,1,0.7254164219,0.2745836079
32,2,0.17296512420000001,0.8270348907
33,2,0.1527653188,0.847234726
34,2,0.2081807852,0.7918192148000001
35,1,0.8523311019,0.1476688981
36,1,0.5556610227000001,0.4443389177
37,2,1.7173000000000003e-05,0.9999828339000001
38,1,0.5939611793,0.4060388207
39,1,0.6681162119,0.3318837881
40,2,0.4670254588,0.5329745412
41,2,0.0293281507,0.9706718326
42,1,0.7943933606,0.20560660960000002
43,2,4.03759e-05,0.9999595881000001
44,1,0.7245259285,0.2754741013
45,2,0.11011395600000001,0.8898860812
46,1,0.6606866717000001,0.3393132687
47,2,0.3267073333,0.6732926965
48,2,0.2192569077,0.7807430625
49,1,0.6479958892000001,0.3520041108
50,2,0.4796999991,0.5202999711
51,2,0.1642467976,0.8357532024000001
52,1,0.8134544492,0.1865455806
53,1,0.7401939034,0.25980609660000004
54,2,0.3332860768,0.666713953
55,2,0.2883600593,0.7116399407
56,2,0.3455562592,0.6544437408
57,2,0.0033261403,0.9966738224
58,2,0.39707797770000003,0.6029219627
59,2,0.1013636217,0.8986364007000001
60,1,0.5067815185,0.4932184517
61,1,0.9191331863000001,0.08086682860000001
62,1,0.9493164420000001,0.0506835505
63,1,0.8390855193000001,0.1609145105
64,2,0.2781662643,0.7218337059000001
65,1,0.9551195502000001,0.0448804088
66,1,0.8704929352,0.1295070946
67,1,0.8137753010000001,0.1862247139
68,1,0.9462001324,0.0537998602
69,1,0.9094465971000001,0.0905533582
70,1,0.6477758884,0.35222408180000003
71,1,0.770221889,0.2297781408
72,2,0.0150943827,0.9849056602
73,2,0.09108120950000001,0.9089187980000001
74,1,0.5147443414,0.4852557182
75,2,0.0311232749,0.9688766599
76,1,0.9493914247,0.050608567900000005
77,1,0.9257013202000001,0.07429873940000001
78,2,0.48097968100000005,0.519020319
79,1,0.7076326013,0.29236736890000004
80,1,0.7606546879,0.2393452972
81,1,0.7356789708,0.2643210292
82,1,0.9464741349,0.0535258651
83,1,0.6861932874000001,0.3138067424
84,1,0.5861870646,0.4138129056
85,1,0.6443712711,0.3556287587
86,2,0.3978302479,0.6021697521
87,2,0.0349501222,0.9650498629
88,2,0.23138150570000002,0.7686184645
89,1,0.7867206335,0.2132793516
90,2,0.0023472959,0.9976527095000001
91,1,0.6781929135,0.3218070865
92,2,0.0536883362,0.9463116527000001
93,2,0.07574456930000001,0.9242554307
94,1,0.9742177129,0.0257822778
95,2,0.4731575847,0.5268424153
96,1,0.7809299231,0.2190700471
97,1,0.6882471442,0.31175282600000004
98,2,0.1635053158,0.8364946842000001
99,1,0.8741563559000001,0.1258436441
100,1,0.5745400786,0.42545989160000003
101,1,0.6959639788,0.3040360212
102,2,0.1063514873,0.8936485052
103,1,0.7273500562,0.2726500034
104,2,0.40449771290000003,0.5955022573000001
105,1,0.8955067992,0.1044932082
106,1,0.7219820023,0.2780179679
107,1,0.6803352237,0.3196647465
108,2,0.2198745906,0.7801253796000001
109,1,0.9144849777,0.0855150372
110,2,0.40214872360000004,0.5978512764
111,2,0.1351210326,0.8648789525
112,2,0.4155987799,0.5844011903
113,1,0.5536529422,0.4463470876
114,1,0.7305207849,0.2694792151
115,1,0.6965463161000001,0.3034536839
116,1,0.63253057,0.3674694598
117,2,0.0057531451,0.9942469001
118,1,0.5170090795,0.48299092050000003
119,2,0.44634214040000003,0.5536578894
120,1,0.8117397428,0.18826024230000002
121,2,0.46114918590000004,0.5388507843
122,1,0.9196014404,0.0803985447
123,2,0.3966241777,0.6033757925000001
124,1,0.7247053981,0.2752945721
125,2,0.2687336504,0.7312663794
126,1,0.8494505882000001,0.15054942670000002
127,2,0.0045949235000000005,0.9954050779
128,2,0.18350526690000002,0.8164947033000001
129,1,0.6118983626,0.3881016076
130,2,0.0358542278,0.9641457796
131,1,0.7203091383,0.2796908915
132,1,0.6473097205,0.3526903391
133,1,0.8091838956,0.1908160597
134,1,0.6033249497000001,0.3966750801
135,1,0.6096804738,0.39031958580000004
136,1,0.5933248997,0.40667510030000004
137,1,0.7352983356,0.2647016048
138,2,7.23131e-05,0.99992764
139,1,0.9464741349,0.0535258651
140,2,0.0037082676,0.9962917566
141,1,0.9817467928,0.0182532445
142,1,0.5820780396,0.41792199020000004
143,1,0.5860177279000001,0.4139822423
144,2,0.0027287260000000003,0.9972712398
145,2,0.0007540261,0.9992460012000001
146,1,0.8522742987,0.1477257013
147,2,0.3976671994,0.6023327708
148,1,0.6479958892000001,0.3520041108
149,2,0.00012940300000000002,0.9998705387000001
150,2,0.3742757142,0.625724256
151,1,0.7561891079,0.24381086230000001
152,1,0.9260521531,0.0739478767
153,2,0.0006051449,0.9993948936
154,1,0.8105310202,0.18946897980000002
155,2,0.0733840317,0.9266159534
156,1,0.6727418303,0.3272581995
157,2,0.1984699368,0.8015300035
158,1,0.7305124998,0.2694874704
159,2,0.0267203227,0.973279655
160,2,0.1079353616,0.8920646310000001
161,2,0.0075316625,0.9924682975
162,1,0.7824758291,0.21752415600000002
163,1,0.7350971103,0.2649028301
164,2,0.0045723361,0.9954276085
165,2,0.09150328490000001,0.9084967375
166,1,0.8811495304,0.11885049190000001
167,2,0.0324748531,0.9675251842
168,2,0.22503732140000002,0.7749626637
169,1,0.7052633762,0.2947366238
170,2,0.1105398387,0.8894601464
171,2,0.36190268400000003,0.6380973458
172,1,0.7232623696,0.2767376006
173,1,0.7575565577000001,0.24244345720000002
174,1,0.8605908155,0.1394092292
175,1,0.7806972861,0.2193026841
176,1,0.7495750189,0.2504250109
177,2,0.0481775329,0.9518224001000001
178,2,0.2346499562,0.7653500438
179,1,0.5704867244,0.4295132458
180,1,0.8879685402,0.1120314673
181,1,0.6100246906,0.389975369
182,1,0.8598458767,0.1401541531
183,2,0.2440765798,0.75592345
184,2,0.0367970392,0.9632030129
185,1,0.9704491496000001,0.029550882100000002
186,1,0.8785245419000001,0.12147547300000001
187,2,0.2375960946,0.7624039054
188,1,0.9257013202000001,0.07429873940000001
189,2,0.19154031570000002,0.8084596395
190,2,0.379142493,0.6208574772000001
191,1,0.9575564265000001,0.0424435139
192,1,0.9684190154000001,0.031581062800000004
193,2,0.4856288433,0.5143711567
194,1,0.7730621099,0.2269378901
195,2,0.2298386246,0.7701613307
196,2,0.0592998974,0.9407001734
197,1,0.8235888481,0.17641116680000002
198,1,0.8152774572,0.18472260240000002
199,2,0.1647818089,0.8352181911000001
200,1,0.8913360834,0.1086639836
201,1,0.9245147705000001,0.0754852667
202,1,0.6365885139,0.3634115458
203,1,0.5354027748,0.4645972848
204,2,0.3687987924,0.6312012076
205,2,0.24480474,0.75519526
