State_And_County_FIPS_Code,CHSI_State_Name,CHSI_County_Name,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
1-1,Alabama,Autauga,48612,82,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,74.9,21.8,8.1,1.6,14.3,5.1,1.4,12.9,5.9,28.0,34.1,15.9,172.4,65.3,16.6,6690,774,1727,2680,2394,2,4,50,31,4,11,0,0,1,4,2,2,3,11,8,2,27.8,24.5,26.6,14.2,5690,2
1-3,Alabama,Baldwin,162586,102,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,76.6,15.4,8.6,1.9,15.3,4.3,1.9,15.3,7.1,25.4,22.5,15.3,156.5,62.1,14.3,20254,2533,4933,9354,7753,2,4,99,67,41,13,0,4,2,22,17,9,0,27,0,4,27.2,23.6,24.6,7.2,19798,2
1-5,Alabama,Barbour,28414,32,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1,74.5,21.4,11.0,1.9,16.7,7.7,1.1,26.0,7.1,50.2,30.5,23.4,95.3,70.6,10.3,6729,569,1302,1618,1403,0,0,53,29,1,16,0,0,2,7,0,6,0,6,6,3,-,25.6,17.7,6.6,5126,2
1-7,Alabama,Bibb,21516,35,16.8,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4,73.2,19.4,8.7,1.7,13.7,6.5,0.9,16.3,9.8,30.2,30.1,17.4,184.7,64.6,14.8,5355,358,900,1218,1034,2,2,9,32,3,16,0,0,2,14,4,4,3,6,2,6,-,-,-,13.1,3315,1
1-9,Alabama,Blount,55725,86,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,76.1,25.8,7.6,1.5,12.8,5.0,1.3,16.7,9.0,19.3,30.2,16.8,148.2,71.7,14.4,11181,819,2217,3164,2675,1,5,25,31,11,5,2,3,3,5,3,5,3,8,0,3,33.5,24.2,23.6,8.4,8131,1
1-11,Alabama,Bullock,11055,18,26.2,24.7,63.2,10.0,2.2,27.8,71.4,0.4,0.2,5.9,71.9,-,13.7,2.8,22.6,10.8,1.2,34.4,13.3,66.6,30.4,23.0,221.4,49.9,-,2848,327,448,626,565,0,1,17,20,7,7,0,0,1,8,1,3,0,7,4,5,-,-,-,-,2295,1
1-13,Alabama,Butler,20766,27,20.0,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,73.0,21.6,9.8,1.8,15.7,9.0,1.2,20.3,5.8,50.2,20.5,17.8,229.0,52.5,11.9,4363,537,976,1164,1029,0,0,23,39,5,17,0,0,0,9,5,6,0,2,7,21,24.5,22.0,27.3,9.5,4055,2
1-15,Alabama,Calhoun,112141,184,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2.0,73.1,26.7,9.0,1.9,14.1,4.8,0.8,12.1,9.5,26.3,26.4,18.4,189.3,73.5,13.6,19546,2182,5722,6400,5545,0,3,31,54,33,33,1,0,2,10,7,13,0,13,7,7,29.2,27.0,25.5,11.2,16456,2
1-17,Alabama,Chambers,35460,59,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2,73.8,32.3,9.3,2.0,15.2,7.3,0.9,17.6,7.5,49.4,25.3,13.8,110.8,63.1,12.8,8718,849,1470,2005,1647,0,2,32,29,1,9,0,0,2,4,0,4,0,2,1,2,34.7,-,11.7,17.1,5533,2
1-19,Alabama,Cherokee,24522,44,15.2,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1,75.3,-,8.4,1.2,12.2,7.6,0.9,14.1,7.4,26.1,11.0,15.3,160.4,54.1,17.7,6398,464,1154,1436,1140,1,2,6,35,6,9,1,0,0,7,2,5,0,5,1,0,-,-,23.6,13.3,3583,1
