State_And_County_FIPS_Code	CHSI_State_Name	CHSI_County_Name	Population_Size	Population_Density	Poverty	Age_19_Under	Age_19_64	Age_65_84	Age_85_and_Over	White	Black	Native_American	Asian	Hispanic	ALE	Health_Status	LBW	VLBW	Premature	Under_18	Over_40	Late_Care	Infant_Mortality	Unmarried	Brst_Cancer	Col_Cancer	CHD	Lung_Cancer	Suicide	No_HS_Diploma	Unemployed	Sev_Work_Disabled	Major_Depression	Recent_Drug_Use	Ecol_Rpt	Ecol_Exp	Salm_Rpt	Salm_Exp	Shig_Rpt	Shig_Exp	FluB_Rpt	FluB_Exp	HepA_Rpt	HepA_Exp	HepB_Rpt	HepB_Exp	Meas_Rpt	Meas_Exp	Pert_Rpt	Pert_Exp	CRS_Rpt	CRS_Exp	Syphilis_Rpt	Syphilis_Exp	No_Exercise	Few_Fruit_Veg	Obesity	High_Blood_Pres	Smoker	Diabetes	Uninsured	HPSA_Ind
34-17	New Jersey	Hudson	603521	12926.0	15.0	24.6	64.4	9.4	1.7	71.1	15.1	0.6	11.1	40.1	76.7	19.5	8.2	1.6	12.9	2.9	3.2	23.4	7.4	39.8	27.6	21.0	204.1	46.4	4.8	120339.0	15746.0	11417.0	31518	30173	4.0	18.0	209.0	256.0	52.0	256.0	2.0	18.0	37.0	92.0	34.0	73.0	1.0	0.0	3.0	55.0	0.0	0.0	59.0	110.0	33.7	75.9	21.2	24.2	20.3	6.3	115257.0	2
45-47	South Carolina	Greenwood	67979	149.0	13.9	25.9	60.2	12.0	1.9	66.1	32.1	0.3	1.1	4.0	74.6	15.2	9.6	2.1	15.3	6.3	1.5	21.9	11.5	45.7	35.2	17.7	172.4	55.5	6.2	11952.0	3009.0	2401.0	3952	3315	2.0	3.0	70.0	47.0	6.0	23.0	0.0	3.0	5.0	10.0	7.0	7.0	0.0	0.0	22.0	3.0	0.0	0.0	9.0	3.0	25.8	74.7	28.4	29.1	20.9	9.2	9540.0	2
6-71	California	San Bernardino	1963535	98.0	16.0	32.2	59.7	7.1	1.0	80.6	9.5	1.4	6.0	44.2	76.0	19.4	6.8	1.3	10.8	4.1	2.3	17.3	7.3	39.7	26.2	20.4	241.3	51.9	10.3	295593.0	43325.0	57473.0	93938	134224	34.0	54.0	0.0	489.0	0.0	272.0	8.0	0.0	140.0	217.0	76.0	163.0	1.0	0.0	50.0	163.0	0.0	0.0	29.0	217.0	28.6	77.2	25.7	26.4	17.8	7.8	351853.0	2
45-71	South Carolina	Newberry	37250	59.0	14.6	24.5	61.0	12.2	2.2	67.1	31.8	0.3	0.5	6.8	75.8	20.8	10.3	1.6	17.0	6.5	1.0	24.4	11.1	46.9	29.1	24.4	135.9	63.9	9.7	7720.0	1253.0	1137.0	2203	1797	0.0	2.0	17.0	24.0	5.0	7.0	0.0	2.0	3.0	5.0	2.0	4.0	0.0	0.0	0.0	11.0	0.0	0.0	2.0	2.0	34.0	79.0	25.4	36.0	23.5	11.4	5441.0	2
56-35	Wyoming	Sublette	6926	1.0	7.7	22.4	66.6	9.9	1.0	98.4	0.3	0.6	0.3	2.7	76.1	10.3	10.4	2.1	13.0	2.7	2.4	17.1	8.7	19.5	38.5	21.9	139.3	34.2	20.4	530.0	94.0	127.0	509	317	2.0	2.0	6.0	6.0	0.0	2.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	22.6	81.9	20.7	24.3	15.2	5.0	795.0	2
32-23	Nevada	Nye	40477	2.0	12.4	22.2	56.9	19.3	1.6	93.1	1.7	1.8	1.5	10.9	74.5	19.6	7.3	1.3	13.4	5.2	2.1	28.4	5.7	40.1	24.8	17.6	140.3	67.4	32.4	5929.0	848.0	2012.0	3136	2491	3.0	3.0	13.0	29.0	2.0	13.0	1.0	3.0	3.0	5.0	5.0	5.0	2.0	0.0	0.0	13.0	0.0	0.0	3.0	2.0	28.3	78.6	27.7	32.6	28.0	9.5	5414.0	1
39-89	Ohio	Licking	154806	226.0	8.4	25.8	62.0	10.8	1.5	95.4	2.5	0.3	0.7	0.9	76.2	12.3	8.1	1.4	12.7	3.5	1.7	7.4	8.0	30.0	32.6	24.9	149.7	61.2	9.7	15653.0	4668.0	4692.0	10541	7665	10.0	9.0	51.0	54.0	9.0	18.0	2.0	4.0	5.0	9.0	0.0	4.0	0.0	0.0	23.0	18.0	0.0	0.0	0.0	4.0	26.5	77.7	27.9	25.2	28.7	9.3	12111.0	2
26-161	Michigan	Washtenaw	341847	482.0	9.6	24.9	66.5	7.5	1.1	77.3	12.2	0.4	7.8	3.0	78.5	7.4	7.1	1.4	9.6	1.3	3.8	9.4	6.7	21.7	25.4	18.5	151.3	46.8	7.7	17975.0	8040.0	8269.0	19426	24642	12.0	20.0	98.0	130.0	21.0	70.0	4.0	10.0	33.0	30.0	11.0	20.0	0.0	0.0	37.0	30.0	0.0	0.0	9.0	10.0	16.4	69.7	20.3	19.6	14.8	5.4	28198.0	2
55-75	Wisconsin	Marinette	43406	31.0	8.9	22.2	60.0	14.9	2.8	98.1	0.3	0.6	0.4	0.9	77.0	14.1	5.0	0.7	8.9	2.3	1.9	17.6	5.7	28.2	22.6	18.1	208.2	55.9	14.3	5295.0	1342.0	940.0	2894	2297	3.0	4.0	45.0	24.0	19.0	4.0	0.0	2.0	4.0	4.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	21.9	81.0	29.2	26.1	30.8	10.4	3831.0	2
24-510	Maryland	Baltimore City	635815	7869.0	19.6	27.1	60.8	10.2	1.9	31.7	64.9	0.3	1.9	2.2	68.6	18.5	13.1	2.8	16.9	8.3	2.1	24.6	11.1	66.2	36.9	26.8	254.5	80.2	8.2	127717.0	19558.0	24520.0	33081	35129	5.0	19.0	502.0	270.0	888.0	270.0	86.0	19.0	218.0	96.0	8.0	77.0	0.0	0.0	19.0	58.0	0.0	0.0	435.0	116.0	28.6	72.9	28.0	29.5	27.8	9.6	110491.0	2
