State_And_County_FIPS_Code,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
2-282,722,0,10.8,22.1,70.2,7.2,0.4,57.8,0.1,40.6,0.7,0.8,-2222.2,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,5.7,22.0,-1111.1,46.0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,79,34,-2222,41,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1111.1,-1111.1,-1111.1,-1111.1,114,1
48-501,7408,9,15.5,31.1,57.3,10.3,1.4,96.7,1.8,0.9,0.6,50.5,76.8,-1111.1,8.4,1.0,13.9,8.9,0.6,26.9,3.6,27.8,36.8,25.7,234.3,46.7,17.8,1779,162,138,369,327,1,1,5,12,9,6,0,0,20,5,7,2,1,2,0,2,-1111.1,-1111.1,-1111.1,-1111.1,1694,1
37-75,8085,28,16.9,22.7,59.0,16.1,2.2,91.6,0.5,7.2,0.4,0.9,75.8,-1111.1,7.0,1.8,11.3,7.1,1.1,9.3,3.4,18.5,22.7,22.6,182.7,70.5,14.5,1821,283,282,485,520,0,0,6,12,0,4,0,0,0,4,0,2,2,2,1,3,-1111.1,-1111.1,-1111.1,7.5,1206,1
47-121,11657,60,15.9,23.9,63.2,11.8,1.1,97.4,1.8,0.3,0.2,0.7,75.0,16.9,9.3,1.3,13.3,6.3,0.7,21.1,7.9,25.7,18.0,11.6,247.7,68.2,11.4,2943,351,602,744,590,2,1,10,20,4,9,0,1,2,2,4,3,0,1,2,2,-1111.1,-1111.1,-1111.1,2.6,1537,1
40-73,14302,16,10.5,24.8,60.1,13.1,1.9,93.5,1.6,2.8,0.2,9.3,74.6,15.5,6.5,0.8,11.0,4.4,1.9,8.7,6.7,24.9,15.7,17.9,233.8,52.3,15.6,1774,246,444,874,648,3,3,15,15,3,4,1,0,19,6,3,1,3,4,3,0,29.1,27.0,22.0,5.0,2205,2
12-93,39836,51,15.0,26.2,57.7,14.5,1.6,89.3,8.0,0.9,1.0,21.5,74.6,22.9,6.8,0.8,12.5,7.0,1.5,21.6,6.0,46.0,20.0,22.4,262.1,72.5,18.6,9088,822,1309,2093,2127,0,7,61,33,26,22,2,0,40,11,4,9,0,2,2,4,39.6,28.2,-1111.1,8.5,7655,1
48-317,4391,5,17.2,33.0,54.1,11.5,1.4,96.1,1.7,1.2,0.5,41.2,77.0,-1111.1,6.9,1.3,12.4,7.2,1.3,27.4,6.3,30.2,-1111.1,-1111.1,278.7,65.0,-1111.1,886,104,145,213,186,0,0,1,6,4,15,0,0,9,8,6,1,1,1,0,0,-1111.1,-1111.1,-1111.1,-1111.1,970,2
8-15,16968,17,11.6,18.9,62.9,16.1,2.1,96.1,1.7,1.0,0.5,8.6,80.1,15.2,8.8,1.0,10.5,3.9,2.9,17.0,3.3,24.3,21.3,14.7,164.3,35.7,23.9,1425,430,470,1315,1318,0,3,23,17,4,5,1,0,5,6,3,2,2,3,1,0,21.4,14.3,21.9,5.0,2324,2
13-19,16708,37,16.8,26.6,60.1,11.7,1.6,87.9,11.0,0.2,0.4,2.8,73.1,10.8,8.0,1.4,11.4,6.8,0.6,17.4,9.5,32.8,24.9,17.0,198.1,78.6,17.3,3709,378,525,995,845,1,0,76,30,20,16,0,0,7,6,3,5,0,0,3,14,32.0,26.1,-1111.1,7.1,2946,1
4-12,20238,4,17.2,20.6,50.4,26.0,2.9,84.2,1.0,13.2,0.6,22.8,80.9,22.2,5.7,0.8,11.5,8.6,1.5,37.5,12.0,52.6,24.7,14.6,162.3,39.9,23.0,4520,521,586,1202,1068,0,2,21,26,13,15,2,2,21,22,4,6,0,2,0,0,26.6,22.0,18.1,8.3,4885,1
28-163,28195,31,27.0,27.5,60.7,10.2,1.6,44.2,54.9,0.2,0.4,5.2,72.3,25.4,13.1,2.7,20.4,10.2,1.6,18.4,12.8,65.9,39.1,15.2,213.7,71.0,12.7,6329,1081,1055,1616,1289,0,0,35,28,4,15,0,0,1,7,24,6,0,6,4,3,38.8,33.6,21.7,9.7,6373,1
17-203,37448,71,6.0,25.5,60.4,11.7,2.4,98.3,0.5,0.1,0.5,1.0,78.8,9.4,6.4,1.2,10.9,1.4,2.8,7.1,7.5,19.0,19.5,16.7,153.2,38.1,7.1,2981,742,546,2029,2319,2,5,11,20,6,4,0,0,1,4,0,2,6,4,0,0,12.8,27.8,-1111.1,7.9,2279,1
19-123,22364,39,10.5,24.3,60.2,12.5,2.9,96.9,0.9,0.2,1.2,1.3,79.0,10.5,5.6,1.0,9.2,3.8,1.4,11.2,6.8,25.2,31.7,21.0,198.9,59.1,8.6,2597,544,419,1267,845,2,2,21,29,1,4,0,0,8,9,1,2,6,7,0,0,30.5,20.5,22.3,5.1,1663,2
39-23,142376,356,11.3,25.1,59.8,13.0,2.1,88.5,9.0,0.3,0.6,1.5,75.2,14.9,8.6,1.6,13.5,5.2,1.4,13.0,8.2,45.8,25.7,24.2,191.1,68.4,14.4,17930,4512,3581,9773,6973,1,4,61,56,7,17,2,4,4,9,2,9,9,13,0,9,21.1,35.5,24.0,8.9,14348,2
45-59,70293,98,14.8,25.2,61.7,11.5,1.6,72.9,25.8,0.5,0.3,2.9,74.4,21.4,10.0,1.8,15.1,7.3,1.0,23.8,9.7,46.8,24.1,21.6,191.9,60.9,10.4,15206,2286,2877,4131,3386,1,3,23,59,4,21,0,0,3,7,6,3,3,3,8,7,30.1,30.8,28.2,9.8,10294,2
48-455,14363,21,17.8,22.6,55.1,19.6,2.6,87.7,10.9,0.5,0.4,6.3,75.2,-1111.1,7.5,1.6,13.0,8.6,0.8,19.8,12.6,39.9,24.8,12.9,181.9,71.4,19.0,2703,351,434,795,592,0,1,12,17,3,7,0,0,3,12,8,4,0,3,3,1,-1111.1,-1111.1,-1111.1,-1111.1,2599,1
1-29,14460,26,14.0,23.3,62.6,12.8,1.4,95.3,3.8,0.3,0.2,1.8,75.3,-1111.1,8.5,1.7,12.3,6.7,0.8,11.9,7.0,14.8,12.7,14.9,148.9,50.1,30.1,3695,234,597,833,697,1,1,15,26,4,12,0,1,1,3,0,4,1,1,2,3,-1111.1,-1111.1,-1111.1,10.5,2107,1
2-16,5382,1,7.3,14.0,83.3,2.6,0.1,48.7,3.8,18.7,26.8,12.0,76.9,-1111.1,5.0,-1111.1,8.2,2.2,2.9,18.9,-1111.1,28.2,-1111.1,-1111.1,189.5,49.1,-1111.1,897,177,-2222,338,409,0,2,10,6,0,2,0,0,4,3,4,1,1,3,0,0,-1111.1,-1111.1,-1111.1,-1111.1,854,1
1-133,24498,40,16.9,22.8,62.2,13.7,1.4,98.3,0.6,0.4,0.1,1.9,73.5,25.5,7.8,1.7,11.6,6.3,0.9,10.4,7.3,17.4,17.5,16.7,197.2,70.9,13.7,6425,475,1190,1421,1156,1,2,17,46,1,22,0,2,2,5,5,7,2,2,0,5,-1111.1,28.0,26.9,8.5,4592,1
20-53,6343,9,9.3,18.7,61.8,15.8,3.7,94.9,4.0,0.5,0.3,3.9,77.4,-1111.1,8.2,1.0,10.0,3.7,2.3,10.2,13.1,24.9,26.3,29.8,165.7,48.4,-1111.1,697,132,116,431,326,0,2,8,7,2,2,0,0,4,2,2,1,0,1,2,0,22.5,21.7,12.2,4.9,632,2
40-63,13835,17,19.4,22.5,60.7,14.7,2.2,74.6,4.6,16.3,0.3,2.9,74.3,24.1,6.3,0.9,11.1,7.3,0.7,26.3,10.0,39.7,24.8,18.7,335.5,74.6,11.1,2785,371,467,870,616,0,1,14,18,6,7,0,0,12,12,4,4,3,3,0,1,32.0,22.7,29.8,6.2,2968,1
40-49,27228,34,15.8,23.7,58.9,14.8,2.6,86.5,2.9,7.6,0.3,4.2,74.1,24.1,7.1,1.3,11.7,4.6,1.1,18.9,8.3,32.3,22.4,23.9,231.9,69.8,18.5,5044,535,742,1686,1180,1,1,25,22,8,16,1,1,2,7,11,4,0,3,0,4,35.5,25.0,27.0,10.8,4707,2
13-271,13205,30,23.1,21.3,66.1,11.1,1.6,57.4,42.1,0.0,0.3,3.2,72.8,32.2,11.7,2.0,14.9,9.3,1.3,20.2,7.9,48.4,30.8,25.6,246.6,74.6,14.7,3279,345,438,839,713,0,0,31,21,21,9,0,0,3,5,2,4,0,1,2,12,52.4,26.1,22.3,12.0,2227,2
8-53,765,1,9.3,19.3,63.9,14.9,1.8,97.9,0.0,1.6,0.5,1.6,80.8,-1111.1,-1111.1,-1111.1,11.6,-1111.1,-1111.1,7.2,-1111.1,14.5,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,41,18,29,59,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1111.1,-1111.1,-1111.1,-1111.1,168,1
55-37,4974,10,8.4,20.1,61.0,16.4,2.5,98.8,0.3,0.3,0.3,0.5,77.0,-1111.1,5.2,-1111.1,9.4,2.8,-1111.1,13.4,-1111.1,23.5,28.9,-1111.1,173.7,49.1,-1111.1,593,172,116,340,255,0,3,0,7,0,2,0,0,0,1,0,0,0,1,0,0,-1111.1,-1111.1,-1111.1,-1111.1,513,1
42-129,367635,359,9.4,21.2,60.6,15.3,2.8,96.4,2.2,0.1,0.6,0.6,77.6,16.2,6.9,1.4,10.7,2.0,2.5,-2222.2,6.3,25.0,26.8,19.7,186.7,52.4,11.4,38042,9766,10786,21474,18355,1,11,146,155,3,66,4,11,8,33,12,22,16,22,33,11,25.5,27.5,23.2,10.0,28264,2
5-71,24042,36,17.1,25.9,60.2,11.9,2.0,95.7,1.8,0.7,0.7,9.3,75.7,17.9,6.6,1.0,10.3,6.6,0.9,26.9,6.3,28.9,20.7,14.6,204.1,69.5,17.0,5110,504,891,1521,1346,1,2,45,33,6,9,0,0,21,7,4,4,1,4,1,0,26.7,20.3,29.0,8.6,4420,2
19-155,89738,94,10.2,24.9,61.5,11.7,1.9,96.9,1.0,0.4,0.7,4.1,76.1,14.9,7.7,1.2,13.0,4.1,1.4,15.7,7.1,38.1,23.7,26.2,231.2,65.1,13.2,9697,2624,1993,5041,3258,15,18,47,62,35,31,0,0,30,13,11,13,3,9,3,4,26.3,26.8,28.0,8.3,8821,2
35-19,4369,1,20.9,21.4,63.1,13.7,1.7,96.2,1.5,1.3,1.0,79.2,77.0,-1111.1,8.9,1.6,14.2,8.9,1.6,38.3,5.8,54.2,-1111.1,-1111.1,200.5,25.5,-1111.1,958,141,145,292,274,0,0,6,5,3,14,0,0,1,7,2,1,3,1,0,0,-1111.1,20.1,-1111.1,-1111.1,1164,1
49-15,10711,2,11.6,31.3,57.2,10.2,1.3,97.9,0.3,0.8,0.4,6.0,77.6,14.2,6.5,0.8,12.2,5.0,1.8,20.3,5.8,17.3,-1111.1,17.3,125.5,26.8,17.6,987,287,213,766,412,1,2,8,11,1,3,0,1,16,11,1,3,1,5,0,0,21.5,23.6,19.6,5.2,1697,1
8-101,151322,63,15.2,26.3,58.9,12.6,2.2,93.7,2.2,1.9,0.9,38.5,76.8,15.9,9.4,1.2,12.4,6.2,1.5,20.9,7.6,45.3,20.8,21.3,113.5,44.0,21.2,18366,4649,4569,10704,11787,7,4,67,70,14,44,2,0,6,13,10,18,9,18,1,9,22.7,22.6,24.2,9.0,26093,2
19-105,20509,36,8.8,21.5,62.8,13.1,2.6,97.1,2.0,0.3,0.2,1.4,79.0,15.4,6.4,1.5,9.8,2.9,1.2,10.9,7.6,26.5,24.6,24.5,183.3,52.4,11.0,2113,543,331,1203,772,9,4,13,26,2,8,0,0,2,4,2,2,4,4,0,0,20.6,19.2,21.1,5.2,1494,2
21-91,8613,46,11.1,26.2,62.0,10.8,1.0,98.4,1.0,0.3,0.2,1.3,76.1,18.9,7.9,1.0,13.1,3.1,0.8,8.5,3.8,24.3,25.7,26.2,279.0,73.2,-1111.1,1308,265,368,552,468,0,1,8,12,17,5,0,0,0,3,0,2,0,2,0,1,28.9,21.5,21.7,8.6,707,2
24-23,29909,46,12.5,24.4,59.9,13.5,2.2,99.0,0.5,0.0,0.2,0.5,77.2,18.3,8.7,1.8,11.5,3.5,2.1,14.1,8.8,25.8,28.2,21.9,224.7,49.5,11.4,4261,798,889,1610,1574,0,1,17,19,1,9,1,0,2,4,2,3,1,1,0,0,28.6,25.6,18.4,8.6,4264,1
17-7,50483,179,7.7,27.7,61.9,8.9,1.5,95.8,1.7,0.5,0.9,16.8,78.1,-1111.1,6.4,1.2,10.8,3.4,2.2,18.1,5.5,27.9,22.1,29.5,176.5,44.5,7.0,6163,1555,786,2654,3081,7,4,32,24,17,7,1,2,9,4,1,2,3,9,1,0,-1111.1,-1111.1,16.4,5.5,5213,2
13-201,6228,22,19.0,25.6,57.1,14.6,2.8,71.9,27.7,0.2,0.1,0.7,75.1,12.7,9.3,1.4,11.8,7.1,1.1,17.9,10.8,43.9,25.5,-1111.1,186.1,51.8,-1111.1,1273,141,171,376,316,0,1,15,11,10,4,0,0,1,4,0,2,0,4,6,3,-1111.1,-1111.1,-1111.1,6.6,1114,2
36-21,63622,100,9.8,22.7,61.3,13.8,2.2,92.6,4.9,0.3,1.3,3.0,77.4,14.2,6.7,1.4,9.1,2.8,3.4,17.8,7.5,32.8,27.4,20.0,237.8,51.0,8.5,8505,1237,1748,3678,3656,7,6,41,41,4,9,4,3,5,6,2,6,23,9,2,3,27.8,25.0,20.8,7.2,6410,2
12-63,48985,53,16.2,22.6,62.5,13.1,1.8,70.5,27.3,0.7,0.5,3.5,74.8,22.3,10.0,1.8,13.8,4.6,1.5,8.4,5.5,42.3,22.6,14.3,251.5,56.9,11.6,10343,813,1966,2693,2677,1,0,30,44,5,21,0,0,0,5,2,5,0,2,2,7,34.2,24.3,23.5,6.8,6703,2
13-139,165771,421,12.0,28.6,62.1,8.4,0.9,90.1,7.0,0.4,1.8,24.8,76.0,17.4,6.2,1.1,5.4,4.6,1.5,2.0,8.2,36.9,19.5,19.2,153.1,48.9,13.7,30773,3586,3718,9590,8295,0,5,74,59,27,18,2,5,121,9,23,9,0,14,4,9,28.2,24.8,20.9,7.9,23560,2
21-67,268080,942,13.0,23.4,66.2,9.2,1.3,81.7,13.6,0.2,3.0,4.8,76.3,13.8,8.6,1.5,14.2,3.0,1.9,15.7,6.1,33.6,26.7,18.8,180.0,73.0,10.0,24977,6800,11496,17826,16027,12,8,72,103,14,32,2,8,9,16,3,16,3,24,27,16,23.8,20.8,23.0,5.9,33169,2
6-57,98394,103,8.3,20.9,62.2,14.6,2.4,95.6,0.4,0.9,1.1,6.7,79.2,18.8,6.0,0.7,9.4,2.4,5.1,16.6,2.0,27.7,21.9,18.7,154.2,52.0,16.8,6804,2281,5550,5447,6799,10,9,0,75,0,14,1,5,12,14,6,5,30,23,1,0,17.4,12.9,8.5,8.3,12295,2
28-141,19202,45,13.9,22.8,59.9,15.5,1.8,95.9,3.6,0.1,0.1,2.5,73.3,32.7,9.3,1.4,17.0,5.4,0.7,10.9,6.3,21.6,32.8,16.9,280.9,78.0,18.0,4791,745,1005,1168,835,0,2,24,28,1,8,0,0,1,6,3,4,0,4,3,0,36.4,25.1,33.3,10.6,2658,1
39-139,127949,258,11.1,24.4,60.6,12.8,2.1,88.4,9.5,0.2,0.6,1.0,76.3,17.4,7.2,1.6,11.1,4.2,1.9,19.1,7.9,38.5,28.1,18.9,163.1,55.9,12.0,17216,4165,3270,8859,6242,5,4,40,50,11,15,3,4,1,8,4,8,21,12,11,8,27.0,22.4,23.6,6.4,12099,2
