CHSI_State_Name,CHSI_County_Name,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Meas_Rpt,Meas_Exp,Pert_Rpt,Pert_Exp,CRS_Rpt,CRS_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,HPSA_Ind
Alabama,Autauga,48612,82.0,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,74.9,21.8,8.1,1.6,14.3,5.1,1.4,12.9,5.9,28.0,34.1,15.9,172.4,65.3,16.6,6690.0,774.0,1727.0,2680,2394,2.0,4.0,50.0,31.0,4.0,11.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,3.0,11.0,0.0,0.0,8.0,2.0,27.8,78.6,24.5,29.1,26.6,14.2,5690.0,2
Alabama,Baldwin,162586,102.0,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,76.6,15.4,8.6,1.9,15.3,4.3,1.9,15.3,7.1,25.4,22.5,15.3,156.5,62.1,14.3,20254.0,2533.0,4933.0,9354,7753,2.0,4.0,99.0,67.0,41.0,13.0,0.0,4.0,2.0,22.0,17.0,9.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,4.0,27.2,76.2,23.6,30.5,24.6,7.2,19798.0,2
Alabama,Barbour,28414,32.0,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1,74.5,21.4,11.0,1.9,16.7,7.7,1.1,26.0,7.1,50.2,30.5,23.4,95.3,70.6,10.3,6729.0,569.0,1302.0,1618,1403,0.0,0.0,53.0,29.0,1.0,16.0,0.0,0.0,2.0,7.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,3.0,,,25.6,,17.7,6.6,5126.0,2
Alabama,Bibb,21516,35.0,16.8,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4,73.2,19.4,8.7,1.7,13.7,6.5,0.9,16.3,9.8,30.2,30.1,17.4,184.7,64.6,14.8,5355.0,358.0,900.0,1218,1034,2.0,2.0,9.0,32.0,3.0,16.0,0.0,0.0,2.0,14.0,4.0,4.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,6.0,,86.6,,,,13.1,3315.0,1
Alabama,Blount,55725,86.0,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,76.1,25.8,7.6,1.5,12.8,5.0,1.3,16.7,9.0,19.3,30.2,16.8,148.2,71.7,14.4,11181.0,819.0,2217.0,3164,2675,1.0,5.0,25.0,31.0,11.0,5.0,2.0,3.0,3.0,5.0,3.0,5.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,3.0,33.5,74.6,24.2,,23.6,8.4,8131.0,1
Alabama,Bullock,11055,18.0,26.2,24.7,63.2,10.0,2.2,27.8,71.4,0.4,0.2,5.9,71.9,,13.7,2.8,22.6,10.8,1.2,34.4,13.3,66.6,30.4,23.0,221.4,49.9,,2848.0,327.0,448.0,626,565,0.0,1.0,17.0,20.0,7.0,7.0,0.0,0.0,1.0,8.0,1.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,,,,,,,2295.0,1
Alabama,Butler,20766,27.0,20.0,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,73.0,21.6,9.8,1.8,15.7,9.0,1.2,20.3,5.8,50.2,20.5,17.8,229.0,52.5,11.9,4363.0,537.0,976.0,1164,1029,0.0,0.0,23.0,39.0,5.0,17.0,0.0,0.0,0.0,9.0,5.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,21.0,24.5,,22.0,,27.3,9.5,4055.0,2
Alabama,Calhoun,112141,184.0,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2.0,73.1,26.7,9.0,1.9,14.1,4.8,0.8,12.1,9.5,26.3,26.4,18.4,189.3,73.5,13.6,19546.0,2182.0,5722.0,6400,5545,0.0,3.0,31.0,54.0,33.0,33.0,1.0,0.0,2.0,10.0,7.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,7.0,7.0,29.2,81.9,27.0,33.2,25.5,11.2,16456.0,2
Alabama,Chambers,35460,59.0,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2,73.8,32.3,9.3,2.0,15.2,7.3,0.9,17.6,7.5,49.4,25.3,13.8,110.8,63.1,12.8,8718.0,849.0,1470.0,2005,1647,0.0,2.0,32.0,29.0,1.0,9.0,0.0,0.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,34.7,84.6,,,11.7,17.1,5533.0,2
Alabama,Cherokee,24522,44.0,15.2,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1,75.3,,8.4,1.2,12.2,7.6,0.9,14.1,7.4,26.1,11.0,15.3,160.4,54.1,17.7,6398.0,464.0,1154.0,1436,1140,1.0,2.0,6.0,35.0,6.0,9.0,1.0,0.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,,,,,23.6,13.3,3583.0,1
Alabama,Chilton,41744,60.0,14.9,25.0,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7,74.1,26.0,9.1,1.7,14.6,5.7,0.9,22.2,10.5,22.9,16.2,13.7,188.1,63.6,13.3,9484.0,685.0,1887.0,2355,2009,0.0,2.0,13.0,28.0,0.0,8.0,0.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,30.3,82.8,31.2,26.5,30.0,6.0,6130.0,2
Alabama,Choctaw,14807,16.0,18.7,24.9,59.5,13.7,2.0,55.7,43.9,0.1,0.1,0.8,74.6,29.8,10.2,1.4,13.6,7.3,0.9,24.4,10.8,42.7,30.2,21.1,221.0,65.7,9.4,3499.0,325.0,589.0,837,701,0.0,0.0,21.0,29.0,4.0,24.0,0.0,0.0,0.0,18.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,8.0,,,,,17.1,13.5,2677.0,1
Alabama,Clarke,27269,22.0,19.2,27.3,58.5,12.4,1.8,55.8,43.7,0.2,0.2,0.7,74.0,,9.8,2.2,17.6,7.1,0.8,25.7,7.1,42.5,21.4,25.6,190.2,52.7,8.9,5196.0,594.0,972.0,1494,1290,0.0,0.0,12.0,28.0,1.0,15.0,3.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,3.0,31.5,,,,,15.8,4593.0,2
Alabama,Clay,13964,23.0,14.0,22.4,60.3,14.9,2.5,84.2,15.0,0.3,0.1,2.1,74.9,,8.2,1.7,13.2,6.9,0.6,17.4,10.2,27.9,14.4,12.5,222.8,54.2,11.2,3333.0,266.0,624.0,814,664,2.0,1.0,14.0,18.0,3.0,4.0,0.0,0.0,1.0,11.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,4.0,,,,,23.9,12.2,2320.0,1
Alabama,Cleburne,14460,26.0,14.0,23.3,62.6,12.8,1.4,95.3,3.8,0.3,0.2,1.8,75.3,,8.5,1.7,12.3,6.7,0.8,11.9,7.0,14.8,12.7,14.9,148.9,50.1,30.1,3695.0,234.0,597.0,833,697,1.0,1.0,15.0,26.0,4.0,12.0,0.0,1.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,,,,,,10.5,2107.0,1
Alabama,Coffee,45567,67.0,13.7,24.5,61.1,12.9,1.5,77.9,18.5,0.9,1.2,3.2,75.9,19.1,8.9,1.2,14.8,5.4,1.1,17.1,2.9,26.9,23.8,17.7,191.7,73.8,13.1,8316.0,694.0,1940.0,2590,2179,1.0,2.0,85.0,31.0,81.0,9.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,2.0,23.3,,25.5,31.3,23.0,10.3,6764.0,2
Alabama,Colbert,54660,92.0,14.0,23.0,60.9,14.0,2.0,81.9,16.7,0.4,0.3,1.3,75.3,20.3,10.4,1.9,15.8,5.6,0.9,15.7,8.2,31.3,34.6,25.8,171.1,64.9,15.1,10160.0,1203.0,2463.0,3162,2606,0.0,5.0,28.0,36.0,1.0,8.0,1.0,3.0,0.0,5.0,5.0,5.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,3.0,30.2,76.9,30.1,,21.7,13.6,8141.0,2
Alabama,Conecuh,13257,16.0,22.0,25.3,59.3,13.4,2.1,55.3,44.1,0.2,0.1,0.9,73.0,19.1,12.7,2.7,19.2,6.7,1.1,30.6,14.4,49.1,25.9,19.3,189.1,58.4,13.2,2872.0,296.0,576.0,746,635,0.0,1.0,19.0,24.0,3.0,8.0,1.0,0.0,2.0,10.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,6.0,,,,,12.3,8.2,2657.0,1
Alabama,Coosa,11162,17.0,13.4,23.2,61.2,13.8,1.8,67.6,31.6,0.3,0.1,1.5,74.9,18.3,12.3,2.6,16.7,7.5,0.9,18.5,13.9,43.7,24.3,19.6,180.2,61.4,,2707.0,231.0,422.0,645,517,0.0,1.0,4.0,23.0,5.0,11.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,2.0,,,,,,15.0,2028.0,1
Alabama,Covington,37003,36.0,17.5,23.4,58.7,15.5,2.5,86.1,12.6,0.5,0.3,0.9,74.7,22.0,8.6,1.7,13.4,5.7,0.8,18.3,6.2,33.1,25.6,17.1,172.7,76.1,10.7,8116.0,686.0,1763.0,2131,1748,0.0,2.0,36.0,30.0,9.0,22.0,2.0,2.0,2.0,9.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,6.0,28.8,,30.2,,27.8,12.1,6094.0,2
Alabama,Crenshaw,13727,23.0,17.6,24.2,58.7,14.9,2.3,74.6,24.6,0.4,0.1,0.8,73.7,,8.3,1.7,14.0,6.8,0.9,15.6,11.4,37.0,26.7,16.7,152.3,65.9,11.2,3755.0,271.0,692.0,783,651,0.0,0.0,21.0,20.0,3.0,7.0,0.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,16.0,5.0,,,,,,,2504.0,1
Alabama,Cullman,79886,108.0,13.3,23.9,61.3,13.3,1.5,97.3,1.2,0.4,0.3,3.1,75.3,23.8,8.8,1.2,14.5,4.6,1.2,11.0,6.9,20.7,26.6,16.7,203.6,67.7,9.1,16275.0,1367.0,3993.0,4572,3803,0.0,8.0,60.0,51.0,15.0,12.0,3.0,4.0,5.0,8.0,3.0,8.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,4.0,29.4,76.2,22.2,35.0,27.6,10.0,11912.0,2
Alabama,Dale,48748,87.0,15.8,27.7,59.4,11.8,1.2,75.5,20.9,0.5,1.3,3.2,75.5,23.9,8.4,1.6,14.1,4.1,0.9,12.6,7.9,28.1,19.3,20.0,195.9,72.3,10.8,7021.0,828.0,1811.0,2655,2280,0.0,2.0,73.0,42.0,17.0,17.0,1.0,0.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,30.4,79.5,25.0,,29.3,12.1,7831.0,1
Alabama,Dallas,44366,45.0,25.0,29.0,57.4,12.1,1.5,32.4,66.9,0.1,0.3,0.6,72.1,25.1,11.6,2.5,17.6,9.1,1.1,30.5,9.6,66.6,26.1,31.5,185.3,65.9,8.4,8207.0,1260.0,2183.0,2378,2155,0.0,0.0,30.0,44.0,9.0,21.0,0.0,0.0,1.0,5.0,1.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,7.0,31.5,85.9,36.6,,20.4,11.5,9242.0,2
Alabama,DeKalb,67271,86.0,15.1,25.0,61.2,12.3,1.6,96.0,1.8,0.8,0.3,8.8,75.1,22.0,9.1,1.4,15.8,5.5,0.9,22.0,7.7,26.6,23.1,13.7,171.9,49.9,10.9,16525.0,1414.0,2949.0,3790,3150,2.0,3.0,21.0,46.0,12.0,23.0,1.0,3.0,4.0,10.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,37.0,80.7,24.3,35.3,19.1,7.8,12260.0,2
Alabama,Elmore,73937,119.0,12.5,25.1,64.0,9.8,1.2,77.3,20.7,0.4,0.5,1.7,75.2,15.1,8.6,1.7,14.2,4.8,1.5,13.3,7.6,31.0,34.1,16.9,138.8,63.8,8.5,10979.0,1091.0,2028.0,4170,3646,3.0,7.0,70.0,51.0,15.0,14.0,1.0,3.0,5.0,7.0,0.0,7.0,0.0,0.0,3.0,14.0,0.0,0.0,8.0,0.0,27.7,85.0,24.8,23.0,22.6,5.5,8320.0,2
